Gender,Age,Hobby,HSC_Gpa,HSC_Group,Grade_Math,Grade_Phy,Grade_Bio,Grade_Chem,Grade_Acc,Grade_Eco,Grade_Bom,Grade_FBI,Grade_Log,Grade_Hist,Grade_Socio,Grade_Geo,Grade_ICT,Fvrt_Subject,Fvrt_Sub_Grade,Undergraduate_Sub_Wanted,Sub_Undergrad,Satisfaction,Current_CGPA,Difficulty_Undergraduate,e1,e3,a1,a3,c1,c3,n1,n3,o1,e2,e4,a4,a2,c2,c4,n2,n4,o3,o2,o4,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,OPN,CSN,EXT,ARG,NT,INT
1,3,1,4,0,0,0,0,0,0,4,0,0,0,3,5,0,5,8,5,g,g,1,3,2,2,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3.0,3,16,11,11,13,12,39
1,2,7,7,2,5,5,5,5,0,0,0,0,0,0,0,0,4,24,5,a,a,0,5,1,2,3,5,4,3,4,5,5,4,2,3,2,2,1,1,3,1,1,3,3,3,3,4,4,2,4,1,1,5,5,5,4.0,3,11,9,10,13,14,44
1,3,41,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,6,4,a,d,0,3,2,1,3,4,4,3,4,1,3,4,2,3,2,2,2,2,3,2,2,2,4,3,3,3,3,3,3,4,4,5,5,5,5.0,5,12,11,9,12,9,51
1,2,34,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,6,5,a,a,1,5,1,2,2,3,3,3,3,2,2,3,3,3,4,3,4,3,3,3,4,3,3,2,2,3,3,3,3,3,3,3,2,2,3.0,2,13,13,10,13,10,34
1,3,36,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,21,4,a,a,0,5,1,3,5,4,4,5,5,3,5,5,5,5,3,1,4,2,3,4,3,4,4,2,2,3,3,4,3,2,3,5,3,5,4.0,5,16,16,18,12,15,44
1,2,66,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,24,5,a,c,1,6,1,1,2,4,4,3,2,4,3,4,2,1,2,3,2,1,4,2,3,3,5,3,2,4,3,4,2,4,4,5,5,5,2.0,1,15,8,6,13,13,44
1,3,46,7,2,5,4,5,5,0,0,0,0,0,0,0,0,0,30,4,a,a,0,1,1,3,3,5,4,3,1,3,3,1,3,3,4,3,1,2,3,1,3,3,5,3,2,5,4,3,4,3,2,4,3,5,2.0,1,12,7,12,16,10,41
1,3,45,7,2,5,4,4,5,0,0,0,0,0,0,0,0,5,7,5,a,a,1,5,1,4,3,4,4,5,5,2,2,4,2,3,3,2,4,4,2,2,2,3,5,5,3,4,4,4,3,5,5,4,2,4,2.0,2,14,18,12,13,8,47
1,1,49,7,2,5,4,5,5,0,0,0,0,0,0,0,0,5,4,5,d,d,1,5,1,3,3,4,4,4,4,2,2,2,2,4,4,2,4,2,2,4,2,4,2,3,3,4,4,4,2,4,4,4,2,4,2.0,2,10,14,12,14,10,42
0,1,25,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,3,5,c,c,1,6,0,5,4,5,5,5,5,3,2,5,2,2,1,5,5,5,1,4,5,4,5,2,4,5,5,4,4,5,5,5,4,4,,4,19,20,13,16,10,51
