Gender,Age,Hobby,HSC_Gpa,HSC_Group,HSC_Grade_Math,HSC_Grade_Physics,HSC_Grade_Biology,HSC_Grade_Chemistry,HSC_Grade_Accounting,HSC_Grade_Economics,HSC_Grade_BOM,HSC_Grade_FBI,HSC_Grade_Logic,HSC_Grade_History,HSC_Grade_Sociology,HSC_Grade_Geography,HSC_Grade_ICT,Fvrt_Subject,Fvrt_Sub_Grade,Undergraduate_Sub_Wanted,Undergraduate_Sub,Satisfaction,Current_CGPA,Difficulty_Undergraduate,e1,e3,a1,a3,c1,c3,n1,n3,o1,e2,e4,a4,a2,c2,c4,n2,n4,o3,o2,o4,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,OPN,CSN,EXT,ARG,NT,INT
0,22 above,8,4,2,5,5,5,5,0,0,0,0,0,0,0,0,5,24,5,i,a,0,3,2,3,3,4,4,3,5,4,4,5,2,3,3,3,2,3,4,3,3,3,5,3,4,4,3,3,3,3,2,4,4,4,2.0,2,16,13,11,14,15,41
0,22 above,10,7,2,5,5,4,5,0,0,0,0,0,0,0,0,5,2,5,a,a,0,4,1,3,5,5,4,2,3,1,2,4,4,4,1,2,4,2,4,5,2,4,3,2,4,4,4,2,4,4,4,5,4,5,2.0,2,13,11,16,12,12,46
1,22 above,15,6,2,4,4,5,4,0,0,0,0,0,0,0,0,4,21,5,a,c,1,2,1,4,1,3,3,3,5,4,3,2,1,2,2,3,3,5,1,2,3,3,3,2,2,3,3,5,4,3,3,4,4,4,4.0,4,11,16,8,11,10,45
0,20-22,20,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,21,5,a,a,0,4,2,5,5,5,5,4,4,4,3,5,5,5,5,2,4,3,4,4,4,4,4,3,3,4,4,5,3,4,4,4,2,4,4.0,3,17,15,20,17,15,47
1,20-22,34,6,2,5,5,5,5,0,0,0,0,0,0,0,0,2,21,4,a,c,1,3,1,4,3,4,3,4,5,3,3,4,4,4,4,3,4,4,2,3,3,3,4,4,3,4,3,4,4,4,5,5,3,5,2.0,1,14,17,15,14,11,47
1,22 above,38,5,2,3,3,2,4,0,0,0,0,0,0,0,0,4,24,4,a,a,1,5,1,2,3,3,1,1,1,1,1,1,3,5,5,5,3,4,5,5,3,5,4,1,1,4,5,5,4,5,5,5,3,5,4.0,5,13,9,13,14,12,52
1,20-22,43,6,2,3,5,4,4,0,0,0,0,0,0,0,0,4,24,4,f,e,0,3,1,4,2,3,4,3,4,2,1,4,2,4,2,1,2,5,2,2,2,2,4,4,3,4,4,3,4,4,4,4,2,4,2.0,4,12,14,12,10,7,46
1,20-22,44,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,24,4,c,c,1,3,1,4,4,3,4,5,5,4,3,4,3,4,1,1,3,5,2,2,3,3,5,4,3,3,4,5,4,5,5,5,3,4,3.0,2,15,18,15,9,11,50
1,22 above,65,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,2,4,a,a,1,6,0,5,5,4,3,5,4,4,4,5,2,2,2,2,5,5,3,2,3,2,5,5,4,5,4,3,5,4,5,4,4,4,1.0,1,15,19,14,11,13,49
1,22 above,15,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,24,5,a,a,1,5,1,3,2,3,4,3,4,3,4,4,2,3,2,2,2,2,2,3,2,2,3,2,1,2,1,2,1,1,2,2,2,1,2.0,2,11,11,10,11,12,21
